Ent. SdSdC,Localisation,Section,Titre complet de l'ouvrage,Sous titre,Auteur 1,auteur 2,Editeur,Date de Publ.,ISBN,Format,nb pages,résumé,Pérlode Hist,Thématique Générale,Evt Majeur,Géographie,Groupes et acteurs,Sources,,,,,,,,,,,,,,,,,,
798,A-2-4,Histoire,La Vienne légendaire et mythologique,,Minrau R.,Racinoux L.,Librairie ncienne Brissaud,6/17/05,2902170750,MF,398,,,culture,,Vienne,,Témoignages,,,,,,,,,,,,,,,,,,
751,A-2-4,Histoire,La Vienne dans la Guerre 1939 / 1945,,Picard Roger,,HORVATH,6/15/05,9782717108385,MF,264,,39-45,Vie quotidienne,,Vienne,,Témoignages,,,,,,,,,,,,,,,,,,
1390,A-2-3,Histoire,Guichard d'angle ,,Ducluzeau R.,,Geste,6/24/05,2845610580,MF,294,,14ème ,militaire,Cent ans,Vienne,,Biographie,,,,,,,,,,,,,,,,,,
1045,A-1-3,Histoire,Charles de Gaulle 1. le rebelle,,Lacouture J.,,Seuil,6/6/05,9782020069687,MF,969,,20ème,Politique,,France,,Biographie,,,,,,,,,,,,,,,,,,
70,A-1-6,Histoire,Pétain et le  pétainisme,,Argenson,,Les écrits restent,5/6/05,,MF,180,,20ème,Politique,,France,,Essai ,,,,,,,,,,,,,,,,,,
45,B-1-13,Patrimoine,titre,n'importe quoi,moi,,la Librairie,1/1/00,9.7828E+12,,9999,n'importe quoi,aaa,bbb,ccc,ddd,eee,fff,ggg,hhh,iii,jjj,kkk,lll,mmm,nnn,ooo,ppp,qqq,rrr,sss,ttt,uuu,vvv,www,xxx
106,B-1-25,Nature,L'étonnante abeille,"Depuis l'Antiquité, les abeilles fascinent l'homme : en plus d'être d'infatigables productrices de cire et de miel, ainsi que des architectes hors pair, leurs performances dans le domaine de la pollinisation des cultures les rendent indispensables. Encore de nos jours, l'abeille suscite des découvertes surprenantes. Cet ouvrage offre au lecteur un panorama complet des plus récentes études sur les abeilles, et présente notamment les résultats du groupe de travail dirigé par Jürgen Tautz à Wurzbourg. De nombreuses photographies en couleurs d'Helga R. Heilmann, pour la plupart inédites, complètent le portrait vivant de ces hyménoptères aux capacités évolutives si remarquables. Karl von Frish, le grand maître de l'apidologie, disait de la société des abeilles qu'elle ""ressemble à une fontaine magique : plus on y puise, plus elle coule en abondance"". Laissez-vous charmer par cette fontaine magique!",Auteur non connu,,De Boeck Supérieur,3/13/09,9.7828E+12,,290,"Depuis l'Antiquité, les abeilles fascinent l'homme : en plus d'être d'infatigables productrices de cire et de miel, ainsi que des architectes hors pair, leurs performances dans le domaine de la pollinisation des cultures les rendent indispensables. Encore de nos jours, l'abeille suscite des découvertes surprenantes. Cet ouvrage offre au lecteur un panorama complet des plus récentes études sur les abeilles, et présente notamment les résultats du groupe de travail dirigé par Jürgen Tautz à Wurzbourg. De nombreuses photographies en couleurs d'Helga R. Heilmann, pour la plupart inédites, complètent le portrait vivant de ces hyménoptères aux capacités évolutives si remarquables. Karl von Frish, le grand maître de l'apidologie, disait de la société des abeilles qu'elle ""ressemble à une fontaine magique : plus on y puise, plus elle coule en abondance"". Laissez-vous charmer par cette fontaine magique!",aaa,bbb,ccc,ddd,eee,fff,Entomologie,Abeille,Ruche,Faune,kkk,lll,mmm,nnn,ooo,ppp,qqq,rrr,sss,ttt,uuu,vvv,www,xxx
107,Z-2-36,Nature,L'étonnante abeille,"Depuis l'Antiquité, les abeilles fascinent l'homme : en plus d'être d'infatigables productrices de cire et de miel, ainsi que des architectes hors pair, leurs performances dans le domaine de la pollinisation des cultures les rendent indispensables. Encore de nos jours, l'abeille suscite des découvertes surprenantes. Cet ouvrage offre au lecteur un panorama complet des plus récentes études sur les abeilles, et présente notamment les résultats du groupe de travail dirigé par Jürgen Tautz à Wurzbourg. De nombreuses photographies en couleurs d'Helga R. Heilmann, pour la plupart inédites, complètent le portrait vivant de ces hyménoptères aux capacités évolutives si remarquables. Karl von Frish, le grand maître de l'apidologie, disait de la société des abeilles qu'elle ""ressemble à une fontaine magique : plus on y puise, plus elle coule en abondance"". Laissez-vous charmer par cette fontaine magique!",Auteur non connu,,De Boeck Supérieur,3/13/09,9.7828E+12,,290,"Depuis l'Antiquité, les abeilles fascinent l'homme : en plus d'être d'infatigables productrices de cire et de miel, ainsi que des architectes hors pair, leurs performances dans le domaine de la pollinisation des cultures les rendent indispensables. Encore de nos jours, l'abeille suscite des découvertes surprenantes. Cet ouvrage offre au lecteur un panorama complet des plus récentes études sur les abeilles, et présente notamment les résultats du groupe de travail dirigé par Jürgen Tautz à Wurzbourg. De nombreuses photographies en couleurs d'Helga R. Heilmann, pour la plupart inédites, complètent le portrait vivant de ces hyménoptères aux capacités évolutives si remarquables. Karl von Frish, le grand maître de l'apidologie, disait de la société des abeilles qu'elle ""ressemble à une fontaine magique : plus on y puise, plus elle coule en abondance"". Laissez-vous charmer par cette fontaine magique!",aaa,bbb,ccc,ddd,eee,fff,Entomologie,Abeille,Ruche,Faune,kkk,lll,mmm,nnn,ooo,ppp,qqq,rrr,sss,ttt,uuu,vvv,www,xxx
110,A-2-36,Nature,Le latin du jardin,"Un dictionnaire unique en son genre pour comprendre la signification secrète des noms latins des plantes !Ce dictionnaire traduit et décrypte 1 500 noms de plantes courantes, dévoilant ainsi une foule d’informations bien cachées sur les plantes elles-mêmes, leur forme, leur couleur, leur parfum ou leur histoire !",Dine Adriansen,,Larousse,7/3/05,9.78204E+12,,351,"Un dictionnaire unique en son genre pour comprendre la signification secrète des noms latins des plantes !Ce dictionnaire traduit et décrypte 1 500 noms de plantes courantes, dévoilant ainsi une foule d’informations bien cachées sur les plantes elles-mêmes, leur forme, leur couleur, leur parfum ou leur histoire !",aaa,bbb,ccc,ddd,eee,fff,Horticulture,France,,Flore,,,mmm,nnn,ooo,ppp,qqq,rrr,sss,ttt,uuu,vvv,www,xxx
18,a-1-1,Nature,L'étonnante abeille,"Depuis l'Antiquité, les abeilles fascinent l'homme : en plus d'être d'infatigables productrices de cire et de miel, ainsi que des architectes hors pair, leurs performances dans le domaine de la pollinisation des cultures les rendent indispensables. Encore de nos jours, l'abeille suscite des découvertes surprenantes. Cet ouvrage offre au lecteur un panorama complet des plus récentes études sur les abeilles, et présente notamment les résultats du groupe de travail dirigé par Jürgen Tautz à Wurzbourg. De nombreuses photographies en couleurs d'Helga R. Heilmann, pour la plupart inédites, complètent le portrait vivant de ces hyménoptères aux capacités évolutives si remarquables. Karl von Frish, le grand maître de l'apidologie, disait de la société des abeilles qu'elle ""ressemble à une fontaine magique : plus on y puise, plus elle coule en abondance"". Laissez-vous charmer par cette fontaine magique!",Jürgen Tautz,,De Boeck Supérieur,3/13/09,9.7828E+12,,290,"Depuis l'Antiquité, les abeilles fascinent l'homme : en plus d'être d'infatigables productrices de cire et de miel, ainsi que des architectes hors pair, leurs performances dans le domaine de la pollinisation des cultures les rendent indispensables. Encore de nos jours, l'abeille suscite des découvertes surprenantes. Cet ouvrage offre au lecteur un panorama complet des plus récentes études sur les abeilles, et présente notamment les résultats du groupe de travail dirigé par Jürgen Tautz à Wurzbourg. De nombreuses photographies en couleurs d'Helga R. Heilmann, pour la plupart inédites, complètent le portrait vivant de ces hyménoptères aux capacités évolutives si remarquables. Karl von Frish, le grand maître de l'apidologie, disait de la société des abeilles qu'elle ""ressemble à une fontaine magique : plus on y puise, plus elle coule en abondance"". Laissez-vous charmer par cette fontaine magique!",zgrtzth,grzghhrz,grtze,europe,,,dferfgg,eeeee,aaa,ere,foret,,,,,,,,,,,,,